sigma:0,sigma:1,sigma:2,sigma:3,sigma:4,sigma:5,arc_length,Points:0,Points:1,Points:2
-2.14E+08,-5.17E+05,-1.54E+07,1.05E+07,0,0,0,0,0.5,0
-2.13E+08,-5.94E+05,-1.51E+07,1.04E+07,-6.31E-11,-9.89E-11,0.00050002,0,0.5005,0
-2.13E+08,-6.72E+05,-1.48E+07,1.03E+07,-1.26E-10,-1.98E-10,0.00099999,0,0.501,0
-2.12E+08,-7.49E+05,-1.45E+07,1.02E+07,-1.89E-10,-2.97E-10,0.0015,0,0.5015,0
-2.11E+08,-8.27E+05,-1.41E+07,1.02E+07,-2.53E-10,-3.95E-10,0.002,0,0.502,0
-2.10E+08,-9.04E+05,-1.38E+07,1.01E+07,-3.16E-10,-4.94E-10,0.0025,0,0.5025,0
-2.10E+08,-9.82E+05,-1.35E+07,9.97E+06,-3.79E-10,-5.93E-10,0.003,0,0.503,0
-2.09E+08,-1.06E+06,-1.32E+07,9.87E+06,-4.42E-10,-6.92E-10,0.0035,0,0.5035,0
-2.08E+08,-1.14E+06,-1.28E+07,9.78E+06,-5.05E-10,-7.91E-10,0.004,0,0.504,0
-2.07E+08,-1.21E+06,-1.25E+07,9.69E+06,-5.68E-10,-8.90E-10,0.0045,0,0.5045,0
-2.07E+08,-1.29E+06,-1.22E+07,9.60E+06,-6.31E-10,-9.89E-10,0.005,0,0.505,0
-2.06E+08,-1.37E+06,-1.19E+07,9.51E+06,-6.95E-10,-1.09E-09,0.0055,0,0.5055,0
-2.05E+08,-1.45E+06,-1.16E+07,9.41E+06,-7.58E-10,-1.19E-09,0.006,0,0.506,0
-2.04E+08,-1.52E+06,-1.12E+07,9.32E+06,-8.21E-10,-1.29E-09,0.0065,0,0.5065,0
-2.04E+08,-1.60E+06,-1.09E+07,9.23E+06,-8.84E-10,-1.38E-09,0.007,0,0.507,0
-2.03E+08,-1.68E+06,-1.06E+07,9.14E+06,-9.47E-10,-1.48E-09,0.0075,0,0.5075,0
-2.02E+08,-1.76E+06,-1.03E+07,9.05E+06,-1.01E-09,-1.58E-09,0.008,0,0.508,0
-2.01E+08,-1.83E+06,-9.93E+06,8.95E+06,-1.07E-09,-1.68E-09,0.0085,0,0.5085,0
