"sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","arc_length","Points:0","Points:1","Points:2"
-2.5758e+08,-1.5522e+05,-3.2806e+07,6.3233e+06,0,0,0,0,0.5,0
-2.5668e+08,-3.6192e+05,-3.2314e+07,6.2321e+06,-4.8467e-11,-2.8431e-10,0.00050002,0,0.5005,0
-2.5578e+08,-5.686e+05,-3.1822e+07,6.141e+06,-9.6928e-11,-5.6859e-10,0.00099999,0,0.501,0
-2.5488e+08,-7.753e+05,-3.133e+07,6.0498e+06,-1.454e-10,-8.529e-10,0.0015,0,0.5015,0
-2.5398e+08,-9.8197e+05,-3.0838e+07,5.9587e+06,-1.9386e-10,-1.1372e-09,0.002,0,0.502,0
-2.5308e+08,-1.1887e+06,-3.0346e+07,5.8675e+06,-2.4232e-10,-1.4215e-09,0.0025,0,0.5025,0
-2.5218e+08,-1.3954e+06,-2.9854e+07,5.7764e+06,-2.9079e-10,-1.7058e-09,0.003,0,0.503,0
-2.5127e+08,-1.6021e+06,-2.9362e+07,5.6853e+06,-3.3925e-10,-1.9901e-09,0.0035,0,0.5035,0
-2.5037e+08,-1.8088e+06,-2.8871e+07,5.5941e+06,-3.8772e-10,-2.2744e-09,0.004,0,0.504,0
-2.4947e+08,-2.0154e+06,-2.8379e+07,5.503e+06,-4.3618e-10,-2.5587e-09,0.0045,0,0.5045,0
-2.4857e+08,-2.2221e+06,-2.7887e+07,5.4118e+06,-4.8465e-10,-2.843e-09,0.005,0,0.505,0
-2.4767e+08,-2.4288e+06,-2.7395e+07,5.3207e+06,-5.3311e-10,-3.1273e-09,0.0055,0,0.5055,0
-2.4677e+08,-2.6355e+06,-2.6903e+07,5.2295e+06,-5.8158e-10,-3.4116e-09,0.006,0,0.506,0
-2.4587e+08,-2.8422e+06,-2.6411e+07,5.1384e+06,-6.3004e-10,-3.6959e-09,0.0065,0,0.5065,0
-2.4497e+08,-3.0489e+06,-2.5919e+07,5.0473e+06,-6.7851e-10,-3.9802e-09,0.007,0,0.507,0
-2.4407e+08,-3.2556e+06,-2.5427e+07,4.9561e+06,-7.2697e-10,-4.2645e-09,0.0075,0,0.5075,0
-2.4317e+08,-3.4623e+06,-2.4936e+07,4.865e+06,-7.7544e-10,-4.5488e-09,0.008,0,0.508,0
-2.4226e+08,-3.669e+06,-2.4444e+07,4.7738e+06,-8.239e-10,-4.8331e-09,0.0085,0,0.5085,0
-2.4136e+08,-3.8757e+06,-2.3952e+07,4.6827e+06,-8.7237e-10,-5.1174e-09,0.009,0,0.509,0
-2.4046e+08,-4.0824e+06,-2.346e+07,4.5915e+06,-9.2083e-10,-5.4017e-09,0.0095,0,0.5095,0
-2.3956e+08,-4.289e+06,-2.2968e+07,4.5004e+06,-9.6929e-10,-5.686e-09,0.01,0,0.51,0
-2.3866e+08,-4.4957e+06,-2.2476e+07,4.4093e+06,-1.0178e-09,-5.9703e-09,0.0105,0,0.5105,0
-2.3776e+08,-4.7024e+06,-2.1984e+07,4.3181e+06,-1.0662e-09,-6.2546e-09,0.011,0,0.511,0
-2.3686e+08,-4.9091e+06,-2.1492e+07,4.227e+06,-1.1147e-09,-6.5389e-09,0.0115,0,0.5115,0
-2.3596e+08,-5.1158e+06,-2.1001e+07,4.1358e+06,-1.1632e-09,-6.8232e-09,0.012,0,0.512,0
-2.3506e+08,-5.3225e+06,-2.0509e+07,4.0447e+06,-1.2116e-09,-7.1075e-09,0.0125,0,0.5125,0
-2.3416e+08,-5.5292e+06,-2.0017e+07,3.9535e+06,-1.2601e-09,-7.3918e-09,0.013,0,0.513,0
-2.3326e+08,-5.7359e+06,-1.9525e+07,3.8624e+06,-1.3085e-09,-7.6761e-09,0.0135,0,0.5135,0
-2.3235e+08,-5.9426e+06,-1.9033e+07,3.7713e+06,-1.357e-09,-7.9604e-09,0.014,0,0.514,0
-2.3145e+08,-6.1493e+06,-1.8541e+07,3.6801e+06,-1.4055e-09,-8.2447e-09,0.0145,0,0.5145,0
-2.3055e+08,-6.3559e+06,-1.8049e+07,3.589e+06,-1.4539e-09,-8.529e-09,0.015,0,0.515,0
-2.2965e+08,-6.5626e+06,-1.7557e+07,3.4978e+06,-1.5024e-09,-8.8133e-09,0.0155,0,0.5155,0
-2.2875e+08,-6.7693e+06,-1.7066e+07,3.4067e+06,-1.5509e-09,-9.0976e-09,0.016,0,0.516,0
-2.2785e+08,-6.976e+06,-1.6574e+07,3.3155e+06,-1.5993e-09,-9.3819e-09,0.0165,0,0.5165,0
-2.2695e+08,-7.1827e+06,-1.6082e+07,3.2244e+06,-1.6478e-09,-9.6662e-09,0.017,0,0.517,0
-2.2605e+08,-7.3894e+06,-1.559e+07,3.1333e+06,-1.6963e-09,-9.9505e-09,0.0175,0,0.5175,0
-2.2515e+08,-7.5961e+06,-1.5098e+07,3.0421e+06,-1.7447e-09,-1.0235e-08,0.018,0,0.518,0
-2.2425e+08,-7.8028e+06,-1.4606e+07,2.951e+06,-1.7932e-09,-1.0519e-08,0.0185,0,0.5185,0
-2.2334e+08,-8.0095e+06,-1.4114e+07,2.8598e+06,-1.8417e-09,-1.0803e-08,0.019,0,0.519,0
-2.2244e+08,-8.2162e+06,-1.3622e+07,2.7687e+06,-1.8901e-09,-1.1088e-08,0.0195,0,0.5195,0
-2.2154e+08,-8.4228e+06,-1.3131e+07,2.6775e+06,-1.9386e-09,-1.1372e-08,0.02,0,0.52,0
-2.2064e+08,-8.6295e+06,-1.2639e+07,2.5864e+06,-1.9871e-09,-1.1656e-08,0.0205,0,0.5205,0
-2.1974e+08,-8.8362e+06,-1.2147e+07,2.4952e+06,-2.0355e-09,-1.1941e-08,0.021,0,0.521,0
-2.1884e+08,-9.0429e+06,-1.1655e+07,2.4041e+06,-2.084e-09,-1.2225e-08,0.0215,0,0.5215,0
-2.1794e+08,-9.2496e+06,-1.1163e+07,2.313e+06,-2.1325e-09,-1.2509e-08,0.022,0,0.522,0
-2.1704e+08,-9.4563e+06,-1.0671e+07,2.2218e+06,-2.1809e-09,-1.2793e-08,0.0225,0,0.5225,0
-2.1614e+08,-9.663e+06,-1.0179e+07,2.1307e+06,-2.2294e-09,-1.3078e-08,0.023,0,0.523,0
-2.1524e+08,-9.8697e+06,-9.6873e+06,2.0395e+06,-2.2778e-09,-1.3362e-08,0.0235,0,0.5235,0
-2.1434e+08,-1.0076e+07,-9.1955e+06,1.9484e+06,-2.3263e-09,-1.3646e-08,0.024,0,0.524,0
-2.1343e+08,-1.0283e+07,-8.7036e+06,1.8572e+06,-2.3748e-09,-1.3931e-08,0.0245,0,0.5245,0
-2.1253e+08,-1.049e+07,-8.2117e+06,1.7661e+06,-2.4232e-09,-1.4215e-08,0.025,0,0.525,0
-2.1125e+08,-1.0514e+07,-7.7477e+06,1.7472e+06,-2.3873e-09,-1.4138e-08,0.0255,0,0.5255,0
-2.0996e+08,-1.0538e+07,-7.2836e+06,1.7283e+06,-2.3513e-09,-1.4061e-08,0.026,0,0.526,0
-2.0867e+08,-1.0562e+07,-6.8197e+06,1.7095e+06,-2.3153e-09,-1.3984e-08,0.0265,0,0.5265,0
-2.0738e+08,-1.0586e+07,-6.3556e+06,1.6906e+06,-2.2793e-09,-1.3906e-08,0.027,0,0.527,0
-2.061e+08,-1.061e+07,-5.8916e+06,1.6717e+06,-2.2433e-09,-1.3829e-08,0.0275,0,0.5275,0
-2.0481e+08,-1.0635e+07,-5.4276e+06,1.6528e+06,-2.2073e-09,-1.3752e-08,0.028,0,0.528,0
-2.0352e+08,-1.0659e+07,-4.9636e+06,1.6339e+06,-2.1714e-09,-1.3675e-08,0.0285,0,0.5285,0
-2.0223e+08,-1.0683e+07,-4.4996e+06,1.6151e+06,-2.1354e-09,-1.3598e-08,0.029,0,0.529,0
-2.0095e+08,-1.0707e+07,-4.0355e+06,1.5962e+06,-2.0994e-09,-1.3521e-08,0.0295,0,0.5295,0
-1.9966e+08,-1.0731e+07,-3.5716e+06,1.5773e+06,-2.0634e-09,-1.3444e-08,0.03,0,0.53,0
-1.9837e+08,-1.0755e+07,-3.1075e+06,1.5584e+06,-2.0274e-09,-1.3367e-08,0.0305,0,0.5305,0
-1.9709e+08,-1.0779e+07,-2.6435e+06,1.5395e+06,-1.9914e-09,-1.3289e-08,0.031,0,0.531,0
-1.958e+08,-1.0804e+07,-2.1795e+06,1.5207e+06,-1.9555e-09,-1.3212e-08,0.0315,0,0.5315,0
-1.9451e+08,-1.0828e+07,-1.7155e+06,1.5018e+06,-1.9195e-09,-1.3135e-08,0.032,0,0.532,0
-1.9322e+08,-1.0852e+07,-1.2514e+06,1.4829e+06,-1.8835e-09,-1.3058e-08,0.0325,0,0.5325,0
-1.9194e+08,-1.0876e+07,-7.8743e+05,1.464e+06,-1.8475e-09,-1.2981e-08,0.033,0,0.533,0
-1.9065e+08,-1.09e+07,-3.234e+05,1.4451e+06,-1.8115e-09,-1.2904e-08,0.0335,0,0.5335,0
-1.8936e+08,-1.0924e+07,1.4059e+05,1.4263e+06,-1.7756e-09,-1.2827e-08,0.034,0,0.534,0
-1.8807e+08,-1.0949e+07,6.0463e+05,1.4074e+06,-1.7396e-09,-1.275e-08,0.0345,0,0.5345,0
-1.8679e+08,-1.0973e+07,1.0687e+06,1.3885e+06,-1.7036e-09,-1.2672e-08,0.035,0,0.535,0
-1.855e+08,-1.0997e+07,1.5327e+06,1.3696e+06,-1.6676e-09,-1.2595e-08,0.0355,0,0.5355,0
-1.8421e+08,-1.1021e+07,1.9967e+06,1.3507e+06,-1.6316e-09,-1.2518e-08,0.036,0,0.536,0
-1.8293e+08,-1.1045e+07,2.4607e+06,1.3319e+06,-1.5956e-09,-1.2441e-08,0.0365,0,0.5365,0
-1.8164e+08,-1.1069e+07,2.9247e+06,1.313e+06,-1.5597e-09,-1.2364e-08,0.037,0,0.537,0
-1.8035e+08,-1.1093e+07,3.3888e+06,1.2941e+06,-1.5237e-09,-1.2287e-08,0.0375,0,0.5375,0
-1.7906e+08,-1.1118e+07,3.8527e+06,1.2752e+06,-1.4877e-09,-1.221e-08,0.038,0,0.538,0
-1.7778e+08,-1.1142e+07,4.3168e+06,1.2563e+06,-1.4517e-09,-1.2133e-08,0.0385,0,0.5385,0
